ID,en,de,type,lexical_category,low_en,high_en,low_de,high_de
265,fast,fast,FALSE COGNATE,ADJ,The car is <MASK> on highways.,"The athlete's <MASK> movements blurred as he dashed through the final stretch, his speed defying expectation and leaving competitors trailing far behind.",Er <MASK> hat den Zug verpasst.,"Er hatte nur noch wenige Sekunden Zeit, um auf den Bahnsteig zu stürmen, wobei <MASK> den abfahrenden Zug verpasste, als dieser davonfuhr."
266,patent,patent,FALSE COGNATE,ADJ,The <MASK> protects the invention.,The inventor applied for a <MASK> to protect his groundbreaking new technology from being copied by competitors.,Es ist ein <MASK>-Werkzeug zum Kochen.,Das Mehrzweckwerkzeug erwies sich als <MASK> in der Küche und rationalisierte Aufgaben mit überraschender Effizienz und Leichtigkeit.
267,punctual,punktuell,FALSE COGNATE,ADJ,She is always <MASK> to meetings.,"Her <MASK> arrival was a habit of precision, embodying her respect for everyone's time.",Sie war sehr <MASK> in Bezug auf ihre Kleidung.,"Ihr Geschmack war so <MASK>, dass sie oft Stunden damit verbrachte, nach genau dem richtigen Outfit zu suchen, um sicherzustellen, dass jedes Teil ihren einzigartigen Stil widerspiegelte."
268,purple,purpur,FALSE COGNATE,ADJ,He wore a <MASK> jacket.,"The <MASK> jacket, rich and bold, was impossible to miss, standing out in any crowd.",Ihr Kleid war <MASK>.,Die tiefe <MASK> ihres Kleides schien mit Intensität zu pulsieren und zog mit ihrem leuchtenden Farbton alle Blicke im Raum auf sich.
269,routine,routiniert,FALSE COGNATE,ADJ,His days followed a <MASK>.,"Bound to a <MASK>, his days unfolded predictably, each hour a reflection of the last.",Er ist ein <MASK>-Fahrer.,"Jahrelanges Navigieren auf anspruchsvollen Straßen machte ihn zu einem <MASK>-Fahrer, der sich instinktiv an alle plötzlichen Veränderungen auf der Fahrt anpasste."
270,small,schmal,FALSE COGNATE,ADJ,They lived in a <MASK> apartment.,"Their <MASK> apartment, compact yet cozy, held a charm that belied its modest size.",Sie hatte einen <MASK>-Rahmen.,"Ihre Figur war so <MASK> und anmutig, dass sie zu gleiten schien, jede Bewegung war von subtiler Eleganz geprägt."
271,scurrilous,skurril,FALSE COGNATE,ADJ,The book contained <MASK> remarks.,"Filled with <MASK> language, the book dared to challenge convention, sparking shock among its readers.",Die Idee war <MASK>.,"Der Vorschlag war so <MASK>, dass er Gelächter auslöste, und seine Absurdität machte es unmöglich, ihn ernst zu nehmen."
272,stark,stark,FALSE COGNATE,ADJ,The landscape was <MASK> and desolate.,"Against the wide, <MASK> expanse of desert, the lone cactus stood as a quiet monument to resilience.",Er war sehr <MASK>.,"Er war so <MASK>, dass er schwere Gegenstände mit Leichtigkeit heben konnte, wobei seine körperliche Leistungsfähigkeit in jeder Aktion sichtbar war."
273,strong,streng,FALSE COGNATE,ADJ,He had a <MASK> personality.,"With a <MASK> and unwavering personality, he could turn heads and command a room with ease.",Der Lehrer war <MASK> mit verspäteten Abgaben.,"Ihre Maßstäbe waren streng und <MASK>, ließen keinen Raum für Ausreden und erwarteten von jedem nur die höchste Qualität."
274,comfortable,komfortabel,FALSE COGNATE,ADJ,The chair was very <MASK>.,"Sinking into the plush, <MASK> chair, he felt every muscle release into a state of relaxation.",Das Hotel war <MASK>.,"Jede Ecke der Suite war <MASK>, von den edlen Möbeln über die Marmorausstattung bis hin zum exquisiten Dekor."
275,unsympathetic,unsympathisch,FALSE COGNATE,ADJ,Her tone was <MASK>.,"She spoke with an <MASK> tone, showing little regard for the challenges others faced.",Der Charakter in der Geschichte war <MASK>.,"Seine Arroganz und sein kaltes Auftreten machten ihn völlig zur <MASK> und entfremdeten sogar diejenigen, die versuchten, mitzufühlen."
276,unserious,unseriös,FALSE COGNATE,ADJ,The joke was <MASK>.,"Delivered with an <MASK> grin, the joke cut through the tension, lightening the mood instantly.",Seine Handlungen waren <MASK>.,"Der skandalöse Charakter seiner Entscheidungen führte dazu, dass er weithin als <MASK> angesehen wurde, was seinen Ruf irreparabel schädigte."
277,unashamed,unverschämt,FALSE COGNATE,ADJ,She was <MASK> of her past.,"<MASK> of the path she’d traveled, she wore her history openly, a testament to her resilience.",Er antwortete mit <MASK> auf die Kritik.,"Seine Reaktion war so <MASK> und trotzig, dass sie den Kritiker sprachlos machte, eine spielerische, aber kühne Herausforderung an die Autorität."
278,virtuous,virtuos,FALSE COGNATE,ADJ,He was <MASK> and well-respected.,"His <MASK> nature shone through in every act, earning the admiration of all who knew him.",Ihr Auftritt war <MASK>.,"Jede Note, die sie spielte, jede Pause, die sie machte, war <MASK> und offenbarte jahrelanges, bis zur Perfektion verfeinertes Können."
279,simpering,zimperlich,FALSE COGNATE,ADJ,She gave a <MASK> smile.,"Her <MASK> smile, forced and sugary-sweet, betrayed a hint of insincerity beneath the surface.",Es geht ihm <MASK> um Kritik.,"Selbst die mildeste Kritik würde ihn verärgern, da seine <MASK>-Natur es nahezu unmöglich macht, über Verbesserungen zu sprechen."
280,famous,famos,FALSE COGNATE,ADJ,The artist became <MASK> to the world after that exhibition.,"Renowned for her brilliant works, she became a <MASK> figure, celebrated across cultures and continents.",Das Konzert war <MASK>.,"Die Energie des Konzerts war <MASK>, und jedes Lied steigerte sich zu einer Spannung, die das Publikum in Ekstase versetzte."
